quarter,RGDP,RCON,RINV,RGOV,NWAGE,DEFL,EMP
21094,2846.4,1734.9,308.5,959.3,240.2,16.711,52570
21186,2772.7,1711.1,287.7,950.8,236.8,16.892,51651
21276,2790.9,1725.1,281.9,974.7,236.3,16.94,50951
21367,2855.5,1753.5,303.5,980.6,243.9,17.043,51258
21459,2922.3,1777.1,329.4,1000.7,248.5,17.123,51839
21551,2976.6,1809.4,347.4,989.4,254.1,17.169,52728
21641,3049,1837.3,374.4,1001.7,260.6,17.194,53516
21732,3043.1,1856.5,350.2,1010.3,261,17.258,53522
21824,3055.1,1858.6,361.6,1002.1,264,17.326,53723
21916,3123.2,1876.3,398,985.2,270.9,17.397,54415
22007,3111.3,1900.1,360.9,995.8,273.6,17.443,54544
22098,3119.1,1892.5,360,1020,274.1,17.506,54268
22190,3081.3,1894.9,320.1,1026.8,273.5,17.56,53950
22282,3102.3,1894.4,328.4,1042,273.9,17.598,53634
22372,3159.9,1922.6,351.4,1044.4,277.8,17.641,53796
22463,3212.6,1932,378.7,1066.4,282.4,17.687,54270
22555,3277.7,1970.7,385,1089.7,288.5,17.745,54712
22647,3336.8,1991.7,405.7,1110.7,293.4,17.837,55118
22737,3372.7,2016.1,402.5,1116,298.8,17.866,55624
22828,3404.8,2032.5,409.4,1141.7,301.3,17.903,55854
22920,3418,2061.3,397.4,1149.6,304.3,17.938,56042
23012,3456.1,2075.2,418.3,1134.1,308,18.017,56223
23102,3501.1,2095.1,425,1135.1,312.4,18.047,56618
23193,3569.5,2123.7,438,1185.4,316.9,18.069,56927
23285,3595,2141.4,443.4,1173.7,322.3,18.216,57300
23377,3672.7,2183.6,460,1177.3,328.3,18.274,57712
23468,3716.4,2222,458.3,1187.9,334.9,18.318,58077
23559,3766.9,2262.8,469,1189.4,341.5,18.392,58645
23651,3780.2,2269.2,473.5,1189,346.7,18.476,59144
23743,3873.5,2319.8,518.6,1187.7,352.8,18.569,59795
23833,3926.4,2345.5,520,1202,358.9,18.652,60480
23924,4006.2,2385.9,538.1,1241.7,366.2,18.726,61227
24016,4100.6,2452.9,541.6,1265.4,377.1,18.853,62012
24108,4201.9,2489.1,584.9,1289,385.7,18.975,62839
24198,4219.1,2495.4,576.2,1313.4,395.9,19.131,63752
24289,4249.2,2523.8,572,1349.1,406.1,19.317,64484
24381,4285.6,2534.2,575.3,1372.4,413.5,19.481,65024
24473,4324.9,2548.9,561.2,1429.8,418.8,19.562,65455
24563,4328.7,2583.7,540.9,1424.2,423.6,19.661,65612
24654,4366.1,2596.9,556.8,1440.2,432,19.849,66064
24746,4401.2,2612.7,568.8,1451.4,441.6,20.067,66609
24838,4490.6,2674.8,580.2,1477.2,454.2,20.29,67105
24929,4566.4,2715.6,602.4,1485,465.9,20.504,67704
25020,4599.3,2766.6,586,1489.7,478.3,20.706,68313
25112,4619.8,2779.1,592.3,1491,489.4,20.999,68984
25204,4691.6,2810.2,627.2,1494.7,499,21.217,69681
25294,4706.7,2828.2,623.5,1490,511.4,21.488,70345
25385,4736.1,2841.9,636.2,1493.5,526.4,21.79,70884
25477,4715.5,2864.6,605.5,1473.9,536.4,22.071,71149
25569,4707.1,2882.3,587.4,1466.9,545.1,22.382,71311
25659,4715.4,2895.6,588.7,1450.2,549,22.694,71167
25750,4757.2,2921.1,598.3,1456.5,555.7,22.88,70978
25842,4708.3,2913.1,566.5,1457.2,556.3,23.182,70573
25934,4834.3,2968.9,632.5,1436.1,570.5,23.536,70844
26024,4861.9,2996.1,650.5,1432.8,580.4,23.846,71179
26115,4900,3020,658.4,1432.4,588.8,24.088,71434
26207,4914.3,3070.2,640.6,1422.6,598.4,24.288,71865
26299,5002.4,3110.8,682.9,1429.3,618.5,24.664,72681
26390,5118.3,3170.2,721.6,1438,630.4,24.815,73463
26481,5165.4,3219.1,731.9,1409.3,642.3,25.048,74036
26573,5251.2,3294.6,736.5,1420.1,664,25.366,74970
26665,5380.5,3354.8,779.6,1431.6,683.4,25.661,75974
26755,5441.5,3353.4,812.9,1424.5,700.2,26.052,76663
26846,5411.9,3365.3,783.4,1406.4,716.2,26.549,77118
26938,5462.4,3355.5,811.3,1415.8,735.4,27.077,77851
27030,5417,3326.2,765,1442.4,748.2,27.592,78218
27120,5431.3,3337.9,761.9,1451.6,765.3,28.248,78510
27211,5378.7,3351.6,722.4,1453.5,783.2,29.067,78622
27303,5357.2,3302.5,726.8,1459.9,792.5,29.923,78182
27395,5292.4,3330.1,609.7,1476.1,792,30.601,76955
27485,5333.2,3385.7,591.6,1466.2,800.4,31.059,76535
27576,5421.4,3434.1,637.5,1489.5,821.3,31.612,77051
27668,5494.4,3470.5,655.2,1503.4,845.8,32.139,77744
27760,5618.5,3539.9,718.5,1506.5,871.3,32.473,78791
27851,5661,3572.4,746.9,1491.4,889.4,32.803,79326
27942,5689.8,3610.3,749.5,1483.9,908.5,33.226,79714
28034,5732.5,3657.5,755.1,1484.4,930,33.815,80197
28126,5799.2,3699.3,790.1,1497.3,950.1,34.359,81024
28216,5913,3719.7,846.8,1512,981,34.841,82102
28307,6017.6,3755.2,889.6,1515.4,1007.6,35.27,83147
28399,6018.2,3811.8,867.3,1512.1,1038.2,36.036,84125
28491,6039.2,3833.8,884.2,1513.9,1064.3,36.573,85001
28581,6274,3915.6,941.6,1554.1,1106.1,37.242,86541
28672,6335.3,3932,969.1,1566.4,1137.2,37.865,87435
28764,6420.3,3963.5,991.5,1580.6,1175.1,38.661,88339
28856,6433,3983.6,993.1,1566.9,1208.4,39.352,89115
28946,6440.8,3981.3,992.2,1583,1234.1,40.304,89773
29037,6487.1,4020.4,975.5,1585.1,1268.3,41.165,90279
29129,6503.9,4031.2,958.2,1595.4,1302.8,41.986,90577
29221,6524.9,4025,951.6,1620.2,1335,42.859,90893
29312,6392.6,3934.5,870.7,1625.9,1351.1,43.8,90456
29403,6382.9,3976.9,813.3,1601.9,1376.2,44.808,90048
29495,6501.2,4029.6,889.2,1601.8,1431.8,46.046,90727
29587,6635.7,4050.8,971.7,1622.8,1469.2,47.196,91117
29677,6587.3,4050.1,931.3,1627.9,1496.4,48.081,91355
29768,6662.9,4066.4,983.5,1621.6,1528.9,48.946,91549
29860,6585.1,4035.9,948.4,1639.9,1551.7,49.863,91148
29952,6475,4062.6,854.9,1638.2,1567.4,50.561,90520
30042,6510.2,4077.6,853.8,1648.9,1581.1,51.17,90041
30133,6486.8,4109.1,845.7,1659.3,1596.3,51.907,89356
30225,6493.1,4184.1,780.3,1685.8,1606,52.483,88819
30317,6578.2,4224.8,807.5,1701.9,1623.2,52.907,89000
30407,6728.3,4308.4,879.1,1719.1,1655.3,53.265,89677
30498,6860,4384,934.2,1747.3,1692,53.823,90606
30590,7001.5,4453.1,1025.1,1718,1740.3,54.219,91872
30682,7140.6,4490.9,1124.2,1738.1,1785.4,54.796,93085
30773,7266,4554.9,1160.7,1777.1,1828.4,55.257,94124
30864,7337.5,4589.9,1185.8,1791.8,1866.9,55.705,95057
30956,7396,4650.6,1170.4,1826,1899.7,56.079,95905
31048,7469.5,4729.7,1138.3,1848,1934,56.724,96571
31138,7537.9,4774.1,1157.7,1891,1963.5,57.075,97270
31229,7655.2,4865.8,1149.8,1935.4,1996.3,57.406,97845
31321,7712.6,4878.3,1192.2,1941.8,2037.3,57.738,98428
31413,7784.1,4919.6,1191.9,1958,2065.5,58.02,98837
31503,7819.8,4974.6,1171,1997.8,2083.7,58.252,99175
31594,7898.6,5064.7,1139.5,2043.4,2113.4,58.487,99665
31686,7939.5,5097.1,1143,2031.5,2153.9,58.813,100312
31778,7995,5097.9,1173.8,2044.3,2195.3,59.24,100921
31868,8084.7,5168.6,1174.4,2062.9,2231.6,59.637,101710
31959,8158,5228.5,1174.6,2067.7,2271.8,60.07,102437
32051,8292.7,5239.5,1254.6,2092.8,2331.8,60.567,103391
32143,8339.3,5332.7,1194.4,2078.6,2368.2,61.043,104152
32234,8449.5,5371.8,1222.9,2086.1,2423,61.633,105006
32325,8498.3,5417.7,1229.7,2087.5,2463.7,62.359,105742
32417,8610.9,5479.7,1248.4,2126.8,2507.7,62.859,106600
32509,8697.7,5505,1290.7,2117.2,2543.2,63.55,107404
32599,8766.1,5530.9,1278.3,2151.8,2564.6,64.207,107909
32690,8831.5,5585.9,1266.9,2169.8,2593.3,64.672,108182
32782,8850.2,5610.5,1257.7,2181.5,2636.2,65.122,108693
32874,8947.1,5658.7,1270,2215.8,2689,65.841,109421
32964,8981.7,5676.4,1270.4,2221.2,2738.1,66.52,109796
33055,8983.9,5699.3,1245.6,2219.9,2771,67.114,109656
33147,8907.4,5656.2,1176.3,2240.2,2775.9,67.622,109247
33239,8865.6,5636.7,1137.1,2251.2,2778.3,68.296,108784
33329,8934.4,5684,1137.2,2259.2,2803.9,68.764,108315
33420,8977.3,5711.6,1159.8,2250.8,2829.3,69.269,108315
33512,9016.4,5710.1,1201,2242.3,2857.4,69.643,108327
33604,9123,5817.3,1178.9,2259.7,2916.4,69.942,108353
33695,9223.5,5857.2,1245.7,2256.8,2955.8,70.388,108634
33786,9313.2,5920.6,1255.8,2268.4,2979,70.723,108896
33878,9406.5,5991.1,1294.2,2263.5,3022.8,71.201,109309
33970,9424.1,6013.8,1324.6,2237.8,3021.6,71.606,109950
34060,9480.1,6067.8,1332.1,2240.3,3068.8,72.041,110544
34151,9526.3,6134.8,1323.1,2245.1,3096.6,72.475,111239
34243,9653.5,6189.1,1392.5,2250,3143.6,72.853,112016
34335,9748.2,6260.1,1446.2,2222.1,3156.7,73.206,112871
34425,9881.4,6308.6,1517.1,2235.1,3228.7,73.571,113925
34516,9939.7,6357.5,1492.2,2272.7,3262,73.969,114925
34608,10052.5,6425.9,1553.5,2252.2,3314.9,74.376,115839
34700,10086.9,6442.9,1570.3,2256.8,3364.6,74.803,116698
34790,10122.1,6500.7,1537.7,2268.6,3399.3,75.132,117143
34881,10208.8,6560.3,1528.6,2262.4,3442.3,75.489,117640
34973,10281.2,6606.4,1566.7,2242.1,3482.2,75.861,118184
35065,10348.7,6667.7,1590.6,2246.8,3529.8,76.272,118680
35156,10529.4,6740.1,1667.7,2282.8,3594.7,76.562,119475
35247,10626.8,6780.7,1744.5,2285.2,3650.8,76.778,120217
35339,10739.1,6834,1743.9,2301.9,3707.2,77.168,120933
35431,10820.9,6906.1,1781.6,2301.3,3781.5,77.647,121688
35521,10984.2,6937.4,1880,2325.3,3839.9,77.857,122554
35612,11124,7056.1,1913.6,2329,3908.2,78.135,123274
35704,11210.3,7139.9,1940.7,2332.5,3995.5,78.395,124250
35796,11321.2,7213.6,2027.1,2319,4080.7,78.523,125011
35886,11431,7341,2013.4,2366,4150.6,78.687,125799
35977,11580.6,7437.5,2067.2,2387.6,4221.4,78.981,126511
36069,11770.7,7546.8,2125.5,2409.4,4291.9,79.228,127276
36161,11864.7,7618.7,2186.1,2418.1,4375.9,79.624,128036
36251,11962.5,7731.5,2188,2431.7,4418,79.891,128847
36342,12113.1,7819.3,2242.8,2460.3,4479.2,80.18,129595
36434,12323.3,7934.1,2308.6,2496.7,4587.7,80.547,130485
36526,12359.1,8054.9,2287.8,2476.2,4759.3,81.163,131253
36617,12592.5,8132.2,2424.5,2506.4,4786.7,81.623,132031
36708,12607.7,8211.3,2394.1,2501.2,4879.2,82.152,132290
36800,12679.3,8284.4,2395.6,2509,4904.6,82.593,132561
36892,12643.3,8319.4,2285.3,2546.3,4989.8,83.112,132745
36982,12710.3,8340.8,2277.1,2596.4,4970.9,83.699,132402
37073,12670.1,8371.2,2236.6,2594.6,4943.9,83.973,132005
37165,12705.3,8499.1,2126.9,2632.4,4942,84.227,131216
37257,12822.3,8524.6,2202.8,2671.3,4960.2,84.497,130771
37347,12893,8568.1,2224.9,2696.9,5008.7,84.812,130648
37438,12955.8,8628,2224.6,2717.8,5018.4,85.19,130570
37530,12964,8674.4,2220.7,2737.1,5029.6,85.651,130606
37622,13031.2,8712.5,2239.5,2728.3,5039.2,86.179,130427
37712,13152.1,8809.5,2251.3,2771.2,5110,86.455,130192
37803,13372.4,8939.4,2330.9,2771.2,5175.1,86.934,130226
37895,13528.7,9008.8,2413.1,2786.3,5260,87.346,130531
37987,13606.5,9096.4,2414.5,2793.9,5290.1,88.108,130921
38078,13706.2,9155.5,2500.9,2809.9,5393,88.875,131638
38169,13830.8,9243,2539.4,2820.7,5501.2,89.422,131970
38261,13950.4,9337.8,2590.6,2808.2,5540.3,90.049,132552
38353,14099.1,9409.2,2664.4,2814.1,5590.7,90.883,132999
38443,14172.7,9511.5,2630.5,2818.9,5650.8,91.543,133732
38534,14291.8,9585.2,2657.9,2841,5748.5,92.399,134483
38626,14373.4,9621.3,2737.6,2830.7,5822.3,93.1,134956
38718,14546.1,9729.2,2773.8,2853.5,5987.3,93.832,135756
38808,14589.6,9781,2755.7,2864.1,6026.7,94.587,136275
38899,14602.6,9838.1,2727.6,2870.4,6072.1,95.247,136717
38991,14716.9,9938.4,2663,2889.1,6189,95.58,137083
39083,14726,9990.7,2638.5,2882.7,6358.1,96.654,137629
39173,14838.7,10024.6,2674.7,2907,6381.8,97.194,137985
39264,14938.5,10069.2,2658.1,2928,6404.2,97.531,138065
39356,14991.8,10081.8,2605.2,2939.8,6478.6,97.956,138310
39448,14889.5,10061,2517.5,2952,6551.5,98.516,138349
39539,14963.4,10077.9,2472.6,2975,6543.1,98.995,137880
39630,14891.6,10005.1,2403.8,3016.2,6555.2,99.673,137171
39722,14577,9884.7,2190,3035.9,6524.5,99.815,135564
39814,14375,9850.8,1937.7,3040.5,6240.2,100.062,133310
39904,14355.6,9806.4,1820.5,3096,6265.2,99.895,131450
39995,14402.5,9865.9,1804.7,3113,6247.2,99.873,130477
40087,14541.9,9864.8,1949.6,3106.8,6287.7,100.169,129962
40179,14604.8,9917.7,2012.9,3084.3,6247,100.522,129810
40269,14745.9,9998.4,2116.9,3106.2,6373.6,100.968,130443
40360,14845.5,10063.1,2185.7,3103.5,6434.8,101.429,130418
40452,14939,10166.1,2166.1,3071.5,6486.8,101.949,130740
40544,14881.3,10217.1,2125.9,3012.2,6591.3,102.399,131082
40634,14989.6,10237.7,2208,3009,6623.5,103.145,131768
40725,15021.1,10282.2,2214,2990,6697.8,103.768,132172
40817,15190.3,10316.8,2373.7,2978.3,6652.4,103.917,132740
40909,15291,10379,2429.6,2963.7,6849.5,104.466,133516
41000,15362.4,10396.6,2489.1,2949.4,6887.6,104.943,133942
41091,15380.8,10424.1,2482,2940.9,6915.8,105.508,134368
41183,15384.3,10453.2,2462.2,2912.3,7102.8,105.935,134864
41275,15491.9,10502.3,2543,2880.6,7008.7,106.349,135518
41365,15521.6,10523.9,2574.3,2866.2,7111.5,106.57,136098
41456,15641.3,10573.1,2656.8,2852,7157.8,107.084,136649
41548,15793.9,10662.2,2692,2831.5,7226.3,107.636,137260
41640,15747,10712.8,2646.4,2824.3,7360,108.117,137777
41730,15900.8,10813.3,2717.5,2825.1,7416.1,108.709,138568
41821,16094.5,10912.9,2776.3,2842.6,7527,109.165,139316
41913,16186.7,11036.4,2794.1,2840,7643.2,109.3,140097
42005,16269,11102.4,2860.8,2858,7702.5,109.31,140828
42095,16374.2,11181.3,2867.7,2880.7,7819.6,109.919,141481
42186,16454.9,11255.9,2882.2,2894.4,7905.2,110.253,142151
42278,16490.7,11319.3,2865.4,2901.7,8036.1,110.504,142872
42370,16525,11365.2,2841.5,2913.2,8023.3,110.63,143531
42461,16583.1,11484.9,2783.8,2900.9,8116.7,111.258,143983
